restaurant_url,Label 1,Label 2,Label 3,Label 4,Label 5
https://www.yelp.com/biz/tias-gourmet-sausage-and-hot-dog-anchorage,Street Vendors,Hot Dogs,,,
https://www.yelp.com/biz/varsity-sports-grill-anchorage-2,Venues & Event Spaces,,,,
https://www.yelp.com/biz/caff%C3%A9-d-arte-alaska-anchorage-5,Coffee & Tea,,,,
https://www.yelp.com/biz/los-arcos-anchorage,Mexican,,,,
https://www.yelp.com/biz/antonios-greek-bakery-and-cafe-anchorage,Greek,,,,
https://www.yelp.com/biz/sandwich-deck-anchorage-2,American,Sandwiches,Breakfast & Brunch,,
https://www.yelp.com/biz/smokehouse-bbq-anchorage,,,,,
https://www.yelp.com/biz/crossroads-lounge-anchorage,Dive Bars,Sports Bars,,,
https://www.yelp.com/biz/blue-fox-cocktail-anchorage,Cocktail Bars,Sandwiches,Karaoke,,
https://www.yelp.com/biz/thai-village-restaurant-anchorage,Thai,Vegetarian,,,
https://www.yelp.com/biz/namaste-north-yoga-studio-anchorage,,,,,
https://www.yelp.com/biz/wingstop-anchorage-3,Chicken Wings,,,,
https://www.yelp.com/biz/inlet-pubhouse-anchorage,Gastropubs,Seafood,Steakhouses,,
https://www.yelp.com/biz/milanos-pizza-anchorage,Pizza,,,,
https://www.yelp.com/biz/oye-yelps-brinner-bash-at-cafe-ak-anchorage,Yelp Events,,,,
https://www.yelp.com/biz/muldoon-pizza-anchorage-2,Pizza,"Beer, Wine & Spirits",,,
https://www.yelp.com/biz/lucys-anchorage,Diners,New American,,,
https://www.yelp.com/biz/uncle-joes-pizzeria-anchorage-3,Pizza,,,,
https://www.yelp.com/biz/ryuu-bowl-anchorage-2,Japanese,,,,
https://www.yelp.com/biz/maxs-beefy-burgers-anchorage,,,,,
https://www.yelp.com/biz/pel-meni-dumplings-anchorage,Russian,,,,
https://www.yelp.com/biz/moose-ala-mode-anchorage,Coffee & Tea,Ice Cream & Frozen Yogurt,Sandwiches,,
https://www.yelp.com/biz/a-pie-stop-anchorage,Desserts,Bakeries,Coffee & Tea,,
https://www.yelp.com/biz/pho-tommy-anchorage-2,Vietnamese,Thai,Laotian,,
https://www.yelp.com/biz/vans-dive-bar-anchorage,Dive Bars,,,,
https://www.yelp.com/biz/xalos-burrito-express-anchorage-2,,,,,
https://www.yelp.com/biz/coffee-queen-anchorage-2,Coffee & Tea,,,,
https://www.yelp.com/biz/barnes-and-noble-booksellers-anchorage-2,Cafes,Bookstores,,,
https://www.yelp.com/biz/arctic-sushi-anchorage,,,,,
https://www.yelp.com/biz/cajun-corner-anchorage,Cajun/Creole,Seafood,Tacos,,
https://www.yelp.com/biz/capones-pizza-anchorage-2,,,,,
https://www.yelp.com/biz/palermo-pizza-and-phillys-anchorage,Pizza,Burgers,Cheesesteaks,,
https://www.yelp.com/biz/burger-jims-anchorage-2,Burgers,American,,,
https://www.yelp.com/biz/cecys-pizza-anchorage,Pizza,Mexican,,,
https://www.yelp.com/biz/williwaw-anchorage-2,New American,Cocktail Bars,Music Venues,,
https://www.yelp.com/biz/pita-pit-anchorage-3,,,,,
https://www.yelp.com/biz/pioneer-bar-anchorage,Dive Bars,,,,
